locus	description	name
PA0135	hypothetical protein	PA0135
PA0136	probable ATP-binding component of ABC transporter	PA0136
PA0137	probable permease of ABC transporter	PA0137
PA0138	probable permease of ABC transporter	PA0138
PA0139	alkyl hydroperoxide reductase subunit C	ahpC
PA0140	alkyl hydroperoxide reductase subunit F	ahpF
PA0141	conserved hypothetical protein	PA0141
PA0142	hypothetical protein	PA0142
PA0143	purine nucleosidase Nuh	nuh
PA0144	hypothetical protein	PA0144
PA0145	hypothetical protein	PA0145
PA0146	conserved hypothetical protein	PA0146
PA0147	probable oxidoreductase	PA0147
PA0148	adenine deaminase	PA0148
PA0149	probable sigma-70 factor, ECF subfamily	PA0149
PA0150	anti-sigma factor	PA0150
PA0151	probable TonB-dependent receptor	PA0151
PA0152	transcriptional regulator PcaQ	pcaQ
PA0153	protocatechuate 3,4-dioxygenase, beta subunit	pcaH
PA0154	protocatechuate 3,4-dioxygenase, alpha subunit	pcaG
PA0155	transcriptional regulator PcaR	pcaR
PA0156	Resistance-Nodulation-Cell Division (RND) triclosan efflux membrane fusion protein, TriA	triA
PA0157	Resistance-Nodulation-Cell Division (RND) triclosan efflux membrane fusion protein, TriB	triB
PA0158	Resistance-Nodulation-Cell Division (RND) triclosan efflux transporter, TriC	triC
PA0159	probable transcriptional regulator	PA0159
PA0160	hypothetical protein	PA0160
PA0161	hypothetical protein	PA0161
PA0162	histidine porin OpdC	opdC
PA0163	probable transcriptional regulator	PA0163
PA0164	probable gamma-glutamyltranspeptidase	PA0164
PA0165	hypothetical protein	PA0165
PA0166	probable transporter	PA0166
PA0167	probable transcriptional regulator	PA0167
PA0168	conserved hypothetical protein	PA0168
PA0169	SiaD	siaD
PA0170	hypothetical protein	PA0170
PA0171	hypothetical protein	PA0171
PA0172	SiaA	siaA
PA0173	probable methylesterase	PA0173
PA0174	conserved hypothetical protein	PA0174
PA0175	probable chemotaxis protein methyltransferase	PA0175
PA0176	aerotaxis transducer Aer2	aer2
PA0177	probable purine-binding chemotaxis protein	PA0177
PA0178	probable two-component sensor	PA0178
PA0179	probable two-component response regulator	PA0179
PA0180	chemotactic transducer for trichloroethylene [positive chemotaxis], CttP	cttP
PA0181	probable transcriptional regulator	PA0181
PA0182	probable short-chain dehydrogenase	PA0182
PA0183	arylsulfatase	atsA
PA0184	probable ATP-binding component of ABC transporter	PA0184
PA0185	probable permease of ABC transporter	PA0185
PA0186	probable binding protein component of ABC transporter	PA0186
PA0187	hypothetical protein	PA0187
PA0188	hypothetical protein	PA0188
PA0189	probable porin	PA0189
PA0190	probable acid phosphatase	PA0190
PA0191	probable transcriptional regulator	PA0191
PA0192	probable TonB-dependent receptor	PA0192
PA0193	hypothetical protein	PA0193
PA0194	hypothetical protein	PA0194
PA0195	putative NAD(P) transhydrogenase, subunit alpha part 1	pntAA
PA0195.1	putative NAD(P) transhydrogenase, subunit alpha part 2	pntAB
PA0196	pyridine nucleotide transhydrogenase, beta subunit	pntB
PA0197	TonB2	tonB2
PA0198	transport protein ExbB	exbB1
PA0199	transport protein ExbD	exbD1
PA0200	hypothetical protein	PA0200
PA0201	hypothetical protein	PA0201
PA0202	probable amidase	PA0202
PA0203	probable binding protein component of ABC transporter	PA0203
PA0204	probable permease of ABC transporter	PA0204
PA0205	probable permease of ABC transporter	PA0205
PA0206	probable ATP-binding component of ABC transporter	PA0206
PA0207	probable transcriptional regulator	PA0207
PA0208	malonate decarboxylase alpha subunit	mdcA
PA0209	conserved hypothetical protein	PA0209
PA0210	malonate decarboxylase delta subunit	mdcC
PA0211	malonate decarboxylase beta subunit	mdcD
PA0212	malonate decarboxylase gamma subunit	mdcE
PA0213	hypothetical protein	PA0213
PA0214	probable acyl transferase	PA0214
PA0215	malonate transporter MadL	PA0215
PA0216	malonate transporter MadM	PA0216
PA0217	probable transcriptional regulator	PA0217
PA0218	probable transcriptional regulator	PA0218
PA0219	probable aldehyde dehydrogenase	PA0219
PA0220	amino acid APC family transporter	PA0220
PA0221	probable aminotransferase	PA0221
PA0222	hypothetical protein	PA0222
PA0223	probable dihydrodipicolinate synthetase	PA0223
PA0224	probable aldolase	PA0224
PA0225	probable transcriptional regulator	PA0225
PA0226	probable CoA transferase, subunit A	PA0226
PA0227	probable CoA transferase, subunit B	PA0227
PA0228	beta-ketoadipyl CoA thiolase PcaF	pcaF
PA0229	dicarboxylic acid transporter PcaT	pcaT
PA0230	3-carboxy-cis,cis-muconate cycloisomerase	pcaB
PA0231	beta-ketoadipate enol-lactone hydrolase	pcaD
PA0232	gamma-carboxymuconolactone decarboxylase	pcaC
PA0233	probable transcriptional regulator	PA0233
PA0234	hypothetical protein	PA0234
PA0235	4-hydroxybenzoate transporter PcaK	pcaK
PA0236	probable transcriptional regulator	PA0236
PA0237	probable oxidoreductase	PA0237
PA0238	hypothetical protein	PA0238
PA0239	hypothetical protein	PA0239
PA0240	probable porin	PA0240
PA0241	probable major facilitator superfamily (MFS) transporter	PA0241
PA0242	hypothetical protein	PA0242
PA0243	probable transcriptional regulator	PA0243
PA0244	hypothetical protein	PA0244
PA0245	3-dehydroquinate dehydratase	aroQ2
PA0246	probable major facilitator superfamily (MFS) transporter	PA0246
PA0247	p-hydroxybenzoate hydroxylase	pobA
PA0248	probable transcriptional regulator	PA0248
PA0249	probable acetyltransferase	PA0249
PA0250	conserved hypothetical protein	PA0250
PA0251	hypothetical protein	PA0251
PA0252	hypothetical protein	PA0252
PA0253	HudR	hudR
PA0254	HudA	hudA
PA0255	conserved hypothetical protein	PA0255
PA0256	hypothetical protein	PA0256
PA0257	hypothetical protein	PA0257
PA0258	hypothetical protein	PA0258
PA0259	Tli3	tli3
PA0260	Tle3	tle3
PA0261	hypothetical protein	PA0261
PA0262	VgrG2b	vgrG2b
PA0263	secreted protein Hcp	hcpC
PA0264	hypothetical protein	PA0264
PA0265	glutaric semialdehyde dehydrogenase	davD
PA0266	delta-aminovalerate aminotransferase	davT
PA0267	hypothetical protein	PA0267
PA0268	probable transcriptional regulator	PA0268
PA0269	conserved hypothetical protein	PA0269
PA0270	hypothetical protein	PA0270
PA0271	hypothetical protein	PA0271
PA0272	probable transcriptional regulator	PA0272
PA0273	probable major facilitator superfamily (MFS) transporter	PA0273
PA0274	hypothetical protein	PA0274
PA0275	probable transcriptional regulator	PA0275
PA0276	hypothetical protein	PA0276
PA0277	conserved hypothetical protein	PA0277
PA0278	hypothetical protein	PA0278
PA0279	probable transcriptional regulator	PA0279
PA0280	sulfate transport protein CysA	cysA
PA0281	sulfate transport protein CysW	cysW
PA0282	sulfate transport protein CysT	cysT
PA0283	sulfate-binding protein precursor	sbp
PA0284	hypothetical protein	PA0284
PA0285	conserved hypothetical protein	PA0285
PA0286	delta-9 fatty acid desaturase, DesA	desA
PA0287	3-guanidinopropionate transport protein	gpuP
PA0288	3-guanidinopropionase	gpuA
PA0289	transcriptional activator GpuR	gpuR
PA0290	hypothetical protein	PA0290
PA0291	Anaerobically-induced outer membrane porin OprE precursor	oprE
PA0292	agmatine deiminase	aguA
PA0293	N-carbamoylputrescine amidohydrolase	aguB
PA0294	transcriptional regulator AguR	aguR
PA0295	probable periplasmic polyamine binding protein	PA0295
PA0296	Glutamylpolyamine synthetase	spuI
PA0297	probable glutamine amidotransferase	spuA
PA0298	Glutamylpolyamine synthetase	spuB
PA0299	Polyamine:pyruvate transaminase	spuC
PA0300	polyamine transport protein	spuD
PA0301	polyamine transport protein	spuE
PA0302	polyamine transport protein PotG	spuF
PA0303	polyamine transport protein PotH	spuG
PA0304	polyamine transport protein PotI	spuH
PA0305	acylhomoserine lactone acylase B	hacB
PA0306	probable transcriptional regulator	PA0306
PA0306.1	Uncharacterized protein	PA0306.1
PA0307	hypothetical protein	PA0307
PA0308	hypothetical protein	PA0308
PA0309	hypothetical protein	PA0309
PA0310	hypothetical protein	PA0310
PA0311	hypothetical protein	PA0311
PA0312	conserved hypothetical protein	PA0312
PA0313	L-cysteine transporter of ABC system YecS	PA0313
PA0314	L-cysteine transporter of ABC system FliY	PA0314
PA0315	hypothetical protein	PA0315
PA0316	D-3-phosphoglycerate dehydrogenase	serA
PA0317	hypothetical protein	PA0317
PA0318	conserved hypothetical protein	PA0318
PA0319	hypothetical protein	PA0319
PA0320	calcium-regulated OB-fold protein CarO	carO
PA0321	acetylpolyamine amidohydrolase	PA0321
PA0322	probable transporter	PA0322
PA0323	probable binding protein component of ABC transporter	PA0323
PA0324	probable permease of ABC transporter	PA0324
PA0325	probable permease of ABC transporter	PA0325
PA0326	probable ATP-binding component of ABC transporter	PA0326
PA0327	calcium-regulated beta-propeller protein CarP	carP
PA0328	arginine-specific autotransporter of Pseudomonas aeruginosa, AaaA	aaaA
PA0329	conserved hypothetical protein	PA0329
PA0330	ribose 5-phosphate isomerase	rpiA
PA0331	threonine dehydratase, biosynthetic	ilvA1
PA0332	hypothetical protein	PA0332
PA0333	hypothetical protein	PA0333
PA0334	probable major facilitator superfamily (MFS) transporter	PA0334
PA0335	hypothetical protein	PA0335
PA0336	Nudix hydrolase YgdP	ygdP
PA0337	phosphoenolpyruvate-protein phosphotransferase PtsP	ptsP
PA0338	hypothetical protein	PA0338
PA0339	hypothetical protein	PA0339
PA0340	conserved hypothetical protein	PA0340
PA0341	prolipoprotein diacylglyceryl transferase	lgt
PA0342	thymidylate synthase	thyA
PA0343	hypothetical protein	PA0343
PA0344	hypothetical protein	PA0344
PA0345	hypothetical protein	PA0345
PA0346	hypothetical protein	PA0346
PA0347	glycerophosphoryl diester phosphodiesterase, periplasmic	glpQ
PA0348	hypothetical protein	PA0348
PA0349	hypothetical protein	PA0349
PA0350	dihydrofolate reductase	folA
PA0351	conserved hypothetical protein	PA0351
PA0352	probable transporter	PA0352
PA0353	dihydroxy-acid dehydratase	ilvD
PA0354	conserved hypothetical protein	PA0354
PA0355	protease PfpI	pfpI
PA0356	hypothetical protein	PA0356
PA0357	formamidopyrimidine-DNA glycosylase	mutM
PA0358	hypothetical protein	PA0358
PA0359	hypothetical protein	PA0359
PA0360	hypothetical protein	PA0360
PA0361	probable gamma-glutamyltranspeptidase precursor	PA0361
PA0362	ferredoxin [4Fe-4S]	fdx1
PA0363	phosphopantetheine adenylyltransferase	coaD
PA0364	probable oxidoreductase	PA0364
PA0365	hypothetical protein	PA0365
PA0366	probable aldehyde dehydrogenase	PA0366
PA0367	probable transcriptional regulator	PA0367
PA0368	conserved hypothetical protein	PA0368
PA0369	Uncharacterized protein	PA0369
PA0370	conserved hypothetical protein	PA0370
PA0371	hypothetical protein	PA0371
PA0372	probable zinc protease	PA0372
PA0373	signal recognition particle receptor FtsY	ftsY
PA0374	cell division protein FtsE	ftsE
PA0375	cell division protein FtsX	ftsX
PA0376	sigma factor RpoH	rpoH
PA0377	hypothetical protein	PA0377
PA0378	probable transglycosylase	PA0378
PA0379	conserved hypothetical protein	PA0379
PA0380	conserved hypothetical protein	PA0380
PA0381	thiamine biosynthesis protein, thiazole moiety	thiG
PA0382	DNA mismatch repair protein MicA	micA
PA0383	conserved hypothetical protein	PA0383
PA0384	hypothetical protein	PA0384
PA0385	hypothetical protein	PA0385
PA0386	probable oxidase	PA0386
PA0387	conserved hypothetical protein	PA0387
PA0388	hypothetical protein	PA0388
PA0389	hypothetical protein	PA0389
PA0390	homoserine O-acetyltransferase	metX
PA0391	hypothetical protein	PA0391
PA0392	conserved hypothetical protein	PA0392
PA0393	pyrroline-5-carboxylate reductase	proC
PA0394	conserved hypothetical protein	PA0394
PA0395	twitching motility protein PilT	pilT
PA0396	twitching motility protein PilU	pilU
PA0397	probable cation efflux system protein	PA0397
PA0398	hypothetical protein	PA0398
PA0399	cystathionine beta-synthase	PA0399
PA0400	probable cystathionine gamma-lyase	PA0400
PA0401	noncatalytic dihydroorotase-like protein	PA0401
PA0402	aspartate carbamoyltransferase	pyrB
PA0403	transcriptional regulator PyrR	pyrR
PA0404	conserved hypothetical protein	PA0404
PA0405	AlgH	algH
PA0406	TonB3	tonB3
PA0407	glutathione synthetase	gshB
PA0408	twitching motility protein PilG	pilG
PA0409	twitching motility protein PilH	pilH
PA0410	twitching motility protein PilI	pilI
PA0411	twitching motility protein PilJ	pilJ
PA0412	methyltransferase PilK	pilK
PA0413	component of chemotactic signal transduction system	chpA
PA0414	probable methylesterase	chpB
PA0415	probable chemotaxis protein	chpC
PA0416	probable transcriptional regulator	chpD
PA0417	probable chemotaxis protein	chpE
PA0418	hypothetical protein	PA0418
PA0419	conserved hypothetical protein	PA0419
PA0420	adenosylmethionine-8-amino-7-oxononanoate aminotransferase	bioA
PA0421	hypothetical protein	PA0421
PA0422	conserved hypothetical protein	PA0422
PA0423	PasP	pasP
PA0424	multidrug resistance operon repressor MexR	mexR
PA0425	Resistance-Nodulation-Cell Division (RND) multidrug efflux membrane fusion protein MexA precursor	mexA
PA0426	Resistance-Nodulation-Cell Division (RND) multidrug efflux transporter MexB	mexB
PA0427	Major intrinsic multiple antibiotic resistance efflux outer membrane protein OprM precursor	oprM
PA0428	probable ATP-dependent RNA helicase	PA0428
PA0429	hypothetical protein	PA0429
PA0430	5,10-methylenetetrahydrofolate reductase	metF
PA0431	hypothetical protein	PA0431
PA0432	S-adenosyl-L-homocysteine hydrolase	sahH
PA0433	hypothetical protein	PA0433
PA0434	hypothetical protein	PA0434
PA0435	hypothetical protein	PA0435
PA0436	probable transcriptional regulator	PA0436
PA0437	cytosine deaminase	codA
PA0438	cytosine permease	codB
PA0439	probable oxidoreductase	PA0439
PA0440	probable oxidoreductase	PA0440
PA0441	dihydropyrimidinase	dht
PA0442	hypothetical protein	PA0442
PA0443	probable transporter	PA0443
PA0444	N-carbamoyl-beta-alanine amidohydrolase	PA0444
PA0445	probable transposase	PA0445
PA0446	conserved hypothetical protein	PA0446
PA0447	glutaryl-CoA dehydrogenase	gcdH
PA0448	transcriptional regulator, GcdR	gcdR
PA0449	hypothetical protein	PA0449
PA0450	probable phosphate transporter	PA0450
PA0451	conserved hypothetical protein	PA0451
PA0452	probable stomatin-like protein	PA0452
PA0453	hypothetical protein	PA0453
PA0454	conserved hypothetical protein	PA0454
PA0455	RNA helicase DbpA	dbpA
PA0456	probable cold-shock protein	PA0456
PA0457	hypothetical protein	PA0457
PA0457.1	hypothetical membrane protein	PA0457.1
PA0458	probable major facilitator superfamily (MFS) transporter	PA0458
PA0459	probable ClpA/B protease ATP binding subunit	PA0459
PA0460	hypothetical protein	PA0460
PA0461	conserved hypothetical protein	PA0461
PA0462	hypothetical protein	PA0462
PA0463	two-component response regulator CreB	creB
PA0464	two-component sensor CreC	creC
PA0465	inner membrane protein CreD	creD
PA0466	hypothetical protein	PA0466
PA0467	conserved hypothetical protein	PA0467
PA0468	hypothetical protein	PA0468
PA0469	hypothetical protein	PA0469
PA0470	Ferrichrome receptor FiuA	fiuA
PA0471	FiuR	fiuR
PA0472	FiuI	fiuI
PA0473	probable glutathione S-transferase	PA0473
PA0474	hypothetical protein	PA0474
PA0475	probable transcriptional regulator	PA0475
PA0476	probable permease	PA0476
PA0477	probable transcriptional regulator	PA0477
PA0478	probable N-acetyltransferase	PA0478
PA0479	probable transcriptional regulator	PA0479
PA0480	probable hydrolase	PA0480
PA0481	hypothetical protein	PA0481
PA0482	malate synthase G	glcB
PA0483	probable acetyltransferase	PA0483
PA0484	conserved hypothetical protein	PA0484
PA0485	conserved hypothetical protein	PA0485
PA0486	conserved hypothetical protein	PA0486
PA0487	probable molybdenum transport regulator	PA0487
PA0488	conserved hypothetical protein	PA0488
PA0489	probable phosphoribosyl transferase	PA0489
PA0490	hypothetical protein	PA0490
PA0491	probable transcriptional regulator	PA0491
PA0492	conserved hypothetical protein	PA0492
PA0493	probable biotin-requiring enzyme	PA0493
PA0494	probable acyl-CoA carboxylase subunit	PA0494
PA0495	hypothetical protein	PA0495
PA0496	conserved hypothetical protein	PA0496
PA0497	hypothetical protein	PA0497
PA0498	hypothetical protein	PA0498
PA0499	probable pili assembly chaperone	PA0499
PA0500	biotin synthase	bioB
PA0501	8-amino-7-oxononanoate synthase	bioF
PA0502	probable biotin biosynthesis protein bioH	PA0502
PA0503	probable biotin synthesis protein BioC	PA0503
PA0504	dethiobiotin synthase	bioD
PA0505	hypothetical protein	PA0505
PA0506	probable acyl-CoA dehydrogenase	PA0506
PA0507	probable acyl-CoA dehydrogenase	PA0507
PA0508	probable acyl-CoA dehydrogenase	PA0508
PA0509	NirN	nirN
PA0510	NirE	nirE
PA0511	heme d1 biosynthesis protein NirJ	nirJ
PA0512	NirH	nirH
PA0513	NirG	nirG
PA0514	heme d1 biosynthesis protein NirL	nirL
PA0515	probable transcriptional regulator	PA0515
PA0516	heme d1 biosynthesis protein NirF	nirF
PA0517	probable c-type cytochrome precursor	nirC
PA0518	cytochrome c-551 precursor	nirM
PA0519	nitrite reductase precursor	nirS
PA0520	regulatory protein NirQ	nirQ
PA0521	probable cytochrome c oxidase subunit	PA0521
PA0522	hypothetical protein	PA0522
PA0523	nitric-oxide reductase subunit C	norC
PA0524	nitric-oxide reductase subunit B	norB
PA0525	probable dinitrification protein NorD	PA0525
PA0526	hypothetical protein	PA0526
PA0527	transcriptional regulator Dnr	dnr
PA0528	probable transcriptional regulator	PA0528
PA0529	conserved hypothetical protein	PA0529
PA0530	probable class III pyridoxal phosphate-dependent aminotransferase	PA0530
PA0531	probable glutamine amidotransferase	PA0531
PA0532	hypothetical protein	PA0532
PA0533	probable transcriptional regulator	PA0533
PA0534	FAD-dependent oxidoreductase	pauB1
PA0535	probable transcriptional regulator	PA0535
PA0536	hypothetical protein	PA0536
PA0537	conserved hypothetical protein	PA0537
PA0538	disulfide bond formation protein	dsbB
PA0539	hypothetical protein	PA0539
PA0540	hypothetical protein	PA0540
PA0541	hypothetical protein	PA0541
PA0542	conserved hypothetical protein	PA0542
PA0543	hypothetical protein	PA0543
PA0544	hypothetical protein	PA0544
PA0545	hypothetical protein	PA0545
PA0546	methionine adenosyltransferase	metK
PA0547	probable transcriptional regulator	PA0547
PA0548	transketolase	tktA
PA0549	hypothetical protein	PA0549
PA0550	conserved hypothetical protein	PA0550
PA0551	D-erythrose 4-phosphate dehydrogenase	epd
PA0552	phosphoglycerate kinase	pgk
PA0553	hypothetical protein	PA0553
PA0554	hypothetical protein	PA0554
PA0555	fructose-1,6-bisphosphate aldolase	fda
PA0556	hypothetical protein	PA0556
PA0557	hypothetical protein	PA0557
PA0558	conserved hypothetical protein	PA0558
PA0559	conserved hypothetical protein	PA0559
PA0560	conserved hypothetical protein	PA0560
PA0561	hypothetical protein	PA0561
PA0562	probable hydrolase	PA0562
PA0563	conserved hypothetical protein	PA0563
PA0564	probable transcriptional regulator	PA0564
PA0565	conserved hypothetical protein	PA0565
PA0566	hypothetical protein	PA0566
PA0567	conserved hypothetical protein	PA0567
PA0568	hypothetical protein	PA0568
PA0569	hypothetical protein	PA0569
PA0570	hypothetical protein	PA0570
PA0571	hypothetical protein	PA0571
PA0572	hypothetical protein	PA0572
PA0573	hypothetical protein	PA0573
PA0574	hypothetical protein	PA0574
PA0575	conserved hypothetical protein	PA0575
PA0576	sigma factor RpoD	rpoD
PA0577	DNA primase	dnaG
PA0578	conserved hypothetical protein	PA0578
PA0579	30S ribosomal protein S21	rpsU
PA0580	O-sialoglycoprotein endopeptidase	gcp
PA0581	conserved hypothetical protein	PA0581
PA0582	dihydroneopterin aldolase	folB
PA0583	hypothetical protein	PA0583
PA0584	tRNA nucleotidyl transferase	cca
PA0585	hypothetical protein	PA0585
PA0586	conserved hypothetical protein	PA0586
PA0587	conserved hypothetical protein	PA0587
PA0588	conserved hypothetical protein	PA0588
PA0589	conserved hypothetical protein	PA0589
PA0590	bis(5'-nucleosyl)-tetraphosphatase	apaH
PA0591	conserved hypothetical protein	PA0591
PA0592	rRNA (adenine-N6,N6)-dimethyltransferase	ksgA
PA0593	pyridoxal phosphate biosynthetic protein PdxA	pdxA
PA0594	peptidyl-prolyl cis-trans isomerase SurA	surA
PA0595	LPS-assembly protein LptD	lptD
PA0596	hypothetical protein	PA0596
PA0597	probable nucleotidyl transferase	PA0597
PA0598	hypothetical protein	PA0598
PA0599	hypothetical protein	PA0599
PA0600	two-component sensor, AgtS	agtS
PA0601	two-component response regulator, AgtR	agtR
PA0602	probable binding protein component of ABC transporter	PA0602
PA0603	AgtA	agtA
PA0604	AgtB	agtB
PA0605	AgtC	agtC
PA0606	AgtD	agtD
PA0607	ribulose-phosphate 3-epimerase	rpe
PA0608	probable phosphoglycolate phosphatase	PA0608
PA0609	anthranilate synthetase component I	trpE
PA0610	transcriptional regulator PrtN	prtN
PA0611	transcriptional regulator PrtR	prtR
PA0612	repressor, PtrB	ptrB
PA0613	hypothetical protein	PA0613
PA0614	hypothetical protein	PA0614
PA0615	hypothetical protein	PA0615
PA0616	hypothetical protein	PA0616
PA0617	probable bacteriophage protein	PA0617
PA0618	probable bacteriophage protein	PA0618
PA0619	probable bacteriophage protein	PA0619
PA0620	probable bacteriophage protein	PA0620
PA0621	conserved hypothetical protein	PA0621
PA0622	probable bacteriophage protein	PA0622
PA0623	probable bacteriophage protein	PA0623
PA0624	hypothetical protein	PA0624
PA0625	hypothetical protein	PA0625
PA0626	hypothetical protein	PA0626
PA0627	conserved hypothetical protein	PA0627
PA0628	conserved hypothetical protein	PA0628
PA0629	conserved hypothetical protein	PA0629
PA0630	hypothetical protein	PA0630
PA0631	hypothetical protein	PA0631
PA0632	hypothetical protein	PA0632
PA0633	hypothetical protein	PA0633
PA0634	hypothetical protein	PA0634
PA0635	hypothetical protein	PA0635
PA0636	hypothetical protein	PA0636
PA0637	conserved hypothetical protein	PA0637
PA0638	probable bacteriophage protein	PA0638
PA0639	conserved hypothetical protein	PA0639
PA0640	probable bacteriophage protein	PA0640
PA0641	probable bacteriophage protein	PA0641
PA0642	hypothetical protein	PA0642
PA0643	hypothetical protein	PA0643
PA0644	hypothetical protein	PA0644
PA0645	hypothetical protein	PA0645
PA0646	hypothetical protein	PA0646
PA0647	hypothetical protein	PA0647
PA0648	hypothetical protein	PA0648
PA0649	anthranilate synthase component II	trpG
PA0650	anthranilate phosphoribosyltransferase	trpD
PA0651	indole-3-glycerol-phosphate synthase	trpC
PA0652	transcriptional regulator Vfr	vfr
PA0653	conserved hypothetical protein	PA0653
PA0654	S-adenosylmethionine decarboxylase proenzyme	speD
PA0655	hypothetical protein	PA0655
PA0656	probable HIT family protein	PA0656
PA0657	probable ATPase	PA0657
PA0658	probable short-chain dehydrogenase	PA0658
PA0659	hypothetical protein	PA0659
PA0660	hypothetical protein	PA0660
PA0661	conserved hypothetical protein	PA0661
